_var,_val,y_pred,co2_v1,mci_v1,co2_pca,mci_pca,co2_assumed,mci_assumed
time_s,869.6,10.293200000000002,0.014000000000000002,0.988,0.0,1.0,0.0,1.0
time_s,1178.3166666666666,13.89000000000001,0.10424402499235391,0.8732301888990837,0.10774402499235392,0.8702301888990837,0.10774402499235392,0.8702301888990837
time_s,1487.0333333333333,20.517800000000022,0.26070467951238746,0.6701715384279279,0.2817046795123874,0.6521715384279279,0.2817046795123875,0.6521715384279279
time_s,1795.75,24.025399999999998,0.349,0.558,0.38749999999999996,0.525,0.38749999999999996,0.5249999999999999
time_s,2104.4666666666667,24.0204,0.3605574343513785,0.5481456430870508,0.4165574343513785,0.5001456430870508,0.4165574343513785,0.5001456430870508
time_s,2413.1833333333334,24.0204,0.37222410101804515,0.5381456430870508,0.44572410101804516,0.4751456430870509,0.44572410101804516,0.4751456430870509
time_s,2721.9,24.025200000000005,0.3839956307073887,0.5280058257234818,0.47499563070738865,0.4500058257234818,0.4749956307073886,0.4500058257234818
time_s,3030.616666666667,24.025200000000005,0.39566229737405534,0.5180058257234817,0.5041622973740554,0.4250058257234818,0.5041622973740553,0.4250058257234818
time_s,3339.3333333333335,24.025200000000005,0.407328964040722,0.5080058257234819,0.5333289640407219,0.40000582572348176,0.5333289640407219,0.40000582572348176
time_s,3648.05,24.025200000000005,0.41899563070738866,0.49800582572348173,0.5624956307073886,0.37500582572348184,0.5624956307073886,0.37500582572348184
time_s,3956.766666666667,24.025200000000005,0.43066229737405537,0.4880058257234817,0.5916622973740553,0.3500058257234817,0.5916622973740553,0.3500058257234817
time_s,4265.483333333334,24.025200000000005,0.442328964040722,0.4780058257234817,0.620828964040722,0.3250058257234818,0.620828964040722,0.3250058257234818
time_s,4574.200000000001,24.025200000000005,0.4539956307073887,0.4680058257234817,0.6499956307073886,0.30000582572348167,0.6499956307073886,0.3000058257234818
time_s,4882.916666666667,24.025200000000005,0.46566229737405535,0.4580058257234818,0.6791622973740552,0.27500582572348176,0.6791622973740552,0.27500582572348176
time_s,5191.633333333334,24.025200000000005,0.477328964040722,0.4480058257234818,0.708328964040722,0.25000582572348173,0.708328964040722,0.25000582572348173
time_s,5500.35,24.025200000000005,0.4889956307073886,0.4380058257234818,0.7374956307073885,0.22500582572348182,0.7374956307073887,0.2250058257234817
time_s,5809.0666666666675,24.025200000000005,0.5006622973740553,0.4280058257234818,0.7666622973740553,0.2000058257234818,0.7666622973740553,0.2000058257234818
time_s,6117.783333333335,24.025200000000005,0.512328964040722,0.41800582572348177,0.795828964040722,0.17500582572348178,0.7958289640407221,0.17500582572348167
time_s,6426.500000000001,24.025200000000005,0.5239956307073887,0.40800582572348176,0.8249956307073886,0.15000582572348176,0.8249956307073886,0.15000582572348176
time_s,6735.216666666667,24.025200000000005,0.5356622973740554,0.39800582572348175,0.8541622973740552,0.12500582572348184,0.8541622973740552,0.12500582572348184
time_s,7043.933333333334,24.025200000000005,0.547328964040722,0.38800582572348175,0.883328964040722,0.10000582572348171,0.883328964040722,0.10000582572348171
time_s,7352.6500000000015,24.025200000000005,0.5589956307073887,0.37800582572348174,0.9124956307073887,0.0750058257234818,0.9124956307073887,0.0750058257234818
time_s,7661.366666666668,24.025200000000005,0.5706622973740554,0.3680058257234817,0.9416622973740553,0.05000582572348189,0.9416622973740553,0.05000582572348189
time_s,7970.083333333334,24.025200000000005,0.582328964040722,0.3580058257234817,0.9708289640407219,0.025005825723481756,0.9708289640407219,0.025005825723481756
time_s,8278.800000000001,24.025200000000005,0.5939956307073886,0.3480058257234817,0.9999956307073886,5.825723481844847e-06,0.9999956307073886,5.825723481844847e-06
Stiring,0.0,13.942999999999937,0.09157887470351186,0.8835346688885422,0.10934435545716947,0.8683071139568357,0.10933963160034284,0.8683111629769728
Stiring,0.041666666666666664,13.942999999999937,0.0974122080368452,0.8785346688885421,0.10934435545716947,0.8683071139568357,0.1093415998740206,0.868309475885249
Stiring,0.08333333333333333,13.942999999999937,0.10324554137017854,0.8735346688885421,0.10934435545716947,0.8683071139568357,0.10934356814769837,0.8683077887935251
Stiring,0.125,13.942999999999937,0.10907887470351187,0.8685346688885421,0.10934435545716947,0.8683071139568357,0.10934553642137615,0.8683061017018013
Stiring,0.16666666666666666,13.942999999999937,0.11491220803684521,0.8635346688885421,0.10934435545716947,0.8683071139568357,0.10934750469505393,0.8683044146100776
Stiring,0.20833333333333331,13.942999999999937,0.12074554137017854,0.8585346688885421,0.10934435545716947,0.8683071139568357,0.1093494729687317,0.8683027275183537
Stiring,0.25,13.942999999999937,0.12657887470351187,0.8535346688885421,0.10934435545716947,0.8683071139568357,0.10935144124240946,0.8683010404266299
Stiring,0.29166666666666663,13.942999999999937,0.1324122080368452,0.8485346688885421,0.10934435545716947,0.8683071139568357,0.10935340951608723,0.8682993533349062
Stiring,0.3333333333333333,13.942999999999937,0.13824554137017853,0.8435346688885421,0.10934435545716947,0.8683071139568357,0.109355377789765,0.8682976662431823
Stiring,0.375,13.942999999999937,0.14407887470351188,0.8385346688885421,0.10934435545716947,0.8683071139568357,0.10935734606344276,0.8682959791514585
Stiring,0.41666666666666663,13.942999999999937,0.14991220803684518,0.8335346688885421,0.10934435545716947,0.8683071139568357,0.10935931433712054,0.8682942920597347
Stiring,0.4583333333333333,13.942999999999937,0.15574554137017854,0.8285346688885422,0.10934435545716947,0.8683071139568357,0.1093612826107983,0.8682926049680109
Stiring,0.5,13.942999999999937,0.16157887470351184,0.8235346688885421,0.10934435545716947,0.8683071139568357,0.10936325088447608,0.8682909178762871
Stiring,0.5416666666666666,13.942999999999937,0.1674122080368452,0.8185346688885422,0.10934435545716947,0.8683071139568357,0.10936521915815385,0.8682892307845633
Stiring,0.5833333333333333,13.942999999999937,0.17324554137017853,0.8135346688885421,0.10934435545716947,0.8683071139568357,0.10936718743183162,0.8682875436928394
Stiring,0.625,13.942999999999937,0.17907887470351186,0.8085346688885422,0.10934435545716947,0.8683071139568357,0.10936915570550938,0.8682858566011157
Stiring,0.6666666666666666,13.942999999999937,0.1849122080368452,0.8035346688885421,0.10934435545716947,0.8683071139568357,0.10937112397918716,0.8682841695093919
Stiring,0.7083333333333333,13.942999999999937,0.19074554137017852,0.7985346688885422,0.10934435545716947,0.8683071139568357,0.10937309225286493,0.868282482417668
Stiring,0.75,13.942999999999937,0.19657887470351187,0.7935346688885421,0.10934435545716947,0.8683071139568357,0.1093750605265427,0.8682807953259443
Stiring,0.7916666666666666,13.942999999999937,0.20241220803684518,0.7885346688885422,0.10934435545716947,0.8683071139568357,0.10937702880022047,0.8682791082342205
Stiring,0.8333333333333333,13.942999999999937,0.2082455413701785,0.7835346688885422,0.10934435545716947,0.8683071139568357,0.10937899707389824,0.8682774211424966
Stiring,0.875,13.942999999999937,0.21407887470351186,0.7785346688885422,0.10934435545716947,0.8683071139568357,0.10938096534757602,0.8682757340507729
Stiring,0.9166666666666666,13.942999999999937,0.2199122080368452,0.7735346688885422,0.10934435545716947,0.8683071139568357,0.10938293362125377,0.8682740469590491
Stiring,0.9583333333333333,13.942999999999937,0.22574554137017852,0.7685346688885422,0.10934435545716947,0.8683071139568357,0.10938490189493155,0.8682723598673253
Stiring,1.0,13.942999999999937,0.23157887470351185,0.7635346688885422,0.10934435545716947,0.8683071139568357,0.10938687016860932,0.8682706727756015
